,date,revenue
72,2021-09-08,13141755.95
73,2021-09-09,13902022.540000001
74,2021-09-10,18088556.32
75,2021-09-11,16215940.24
76,2021-09-12,13086925.57
77,2021-09-13,13024814.02
78,2021-09-14,12763118.33
79,2021-09-15,13133980.27
80,2021-09-16,12618963.67
81,2021-09-17,19192960.22
82,2021-09-18,17277480.24
83,2021-09-19,13355163.65
84,2021-09-20,13073458.03
85,2021-09-21,13051038.21
86,2021-09-22,13531388.6
87,2021-09-23,13819547.57
88,2021-09-24,18189843.65
89,2021-09-25,16492255.18
90,2021-09-26,13192727.79
91,2021-09-27,13445254.540000001
92,2021-09-28,13363435.41
93,2021-09-29,14003773.02
94,2021-09-30,15089305.4
95,2021-10-01,18958324.66
96,2021-10-02,17239003.98
97,2021-10-03,13943917.14
98,2021-10-04,13631273.790000001
99,2021-10-05,13297015.5
100,2021-10-06,13704898.05
101,2021-10-07,14462191.58
102,2021-10-08,18257127.99
103,2021-10-09,17030615.83
104,2021-10-10,13793375.63
105,2021-10-11,13419657.87
106,2021-10-12,13195200.8
107,2021-10-13,13950779.73
108,2021-10-14,14069486.73
109,2021-10-15,18930920.21
110,2021-10-16,18248996.330000002
111,2021-10-17,14155606.2
112,2021-10-18,13585408.38
113,2021-10-19,13248988.09
114,2021-10-20,13710472.28
115,2021-10-21,14422964.61
116,2021-10-22,20102849.22
117,2021-10-23,18912566.49
118,2021-10-24,14044047.15
119,2021-10-25,13392031.92
120,2021-10-26,13848261.790000001
121,2021-10-27,14210748.98
122,2021-10-28,14058338.0
123,2021-10-29,19699808.76
124,2021-10-30,18799556.09
125,2021-10-31,14280199.72
126,2021-11-01,13263203.77
127,2021-11-02,16187568.76
128,2021-11-03,16018325.06
129,2021-11-04,14007581.82
130,2021-11-05,20181852.91
131,2021-11-06,17976695.11
132,2021-11-07,14076623.34
133,2021-11-08,14112591.3
134,2021-11-09,14949922.51
135,2021-11-10,14768506.71
136,2021-11-11,15282527.46
137,2021-11-12,21112873.58
138,2021-11-13,18954437.09
139,2021-11-14,15240626.92
140,2021-11-15,13259520.86
141,2021-11-16,14213275.17
142,2021-11-17,15070209.93
143,2021-11-18,14529110.450000001
144,2021-11-19,20282399.32
145,2021-11-20,19693615.4
146,2021-11-21,14974120.48
147,2021-11-22,13893266.540000001
148,2021-11-23,14678954.34
149,2021-11-24,15158504.85
150,2021-11-25,15494723.48
151,2021-11-26,20610972.37
152,2021-11-27,20005551.2
153,2021-11-28,15008352.64
154,2021-11-29,14102451.790000001
155,2021-11-30,14411813.84
156,2021-12-01,14338733.83
157,2021-12-02,15063841.83
158,2021-12-03,21360995.3
